TrueQB.ru,TrueQB.ru.sru,WebberOnRunsV3QB.APL985LC.deltaP,WebberOnRunsV3QB.APL985LC.kTau,WebberOnRunsV3QB.APL985LC.krp,WebberOnRunsV3QB.Brkly25.deltaP,WebberOnRunsV3QB.Brkly25.kTau,WebberOnRunsV3QB.Brkly25.krp,WebberOnRunsV3QB.Brkly26.deltaP,WebberOnRunsV3QB.Brkly26.kTau,WebberOnRunsV3QB.Brkly26.krp,WebberOnRunsV3QB.CLARIT98CLUS.deltaP,WebberOnRunsV3QB.CLARIT98CLUS.kTau,WebberOnRunsV3QB.CLARIT98CLUS.krp,WebberOnRunsV3QB.CLARIT98COMB.deltaP,WebberOnRunsV3QB.CLARIT98COMB.kTau,WebberOnRunsV3QB.CLARIT98COMB.krp,WebberOnRunsV3QB.Cor7A1clt.deltaP,WebberOnRunsV3QB.Cor7A1clt.kTau,WebberOnRunsV3QB.Cor7A1clt.krp,WebberOnRunsV3QB.Cor7A3rrf.deltaP,WebberOnRunsV3QB.Cor7A3rrf.kTau,WebberOnRunsV3QB.Cor7A3rrf.krp,WebberOnRunsV3QB.ETHAC0.deltaP,WebberOnRunsV3QB.ETHAC0.kTau,WebberOnRunsV3QB.ETHAC0.krp,WebberOnRunsV3QB.FLab7ad.deltaP,WebberOnRunsV3QB.FLab7ad.kTau,WebberOnRunsV3QB.FLab7ad.krp,WebberOnRunsV3QB.FLab7at.deltaP,WebberOnRunsV3QB.FLab7at.kTau,WebberOnRunsV3QB.FLab7at.krp,WebberOnRunsV3QB.INQ501.deltaP,WebberOnRunsV3QB.INQ501.kTau,WebberOnRunsV3QB.INQ501.krp,WebberOnRunsV3QB.INQ502.deltaP,WebberOnRunsV3QB.INQ502.kTau,WebberOnRunsV3QB.INQ502.krp,WebberOnRunsV3QB.LNaTitDesc7.deltaP,WebberOnRunsV3QB.LNaTitDesc7.kTau,WebberOnRunsV3QB.LNaTitDesc7.krp,WebberOnRunsV3QB.LNmanual7.deltaP,WebberOnRunsV3QB.LNmanual7.kTau,WebberOnRunsV3QB.LNmanual7.krp,WebberOnRunsV3QB.MerAdRbtnd.deltaP,WebberOnRunsV3QB.MerAdRbtnd.kTau,WebberOnRunsV3QB.MerAdRbtnd.krp,WebberOnRunsV3QB.MerTetAdtnd.deltaP,WebberOnRunsV3QB.MerTetAdtnd.kTau,WebberOnRunsV3QB.MerTetAdtnd.krp,WebberOnRunsV3QB.acsys7al.deltaP,WebberOnRunsV3QB.acsys7al.kTau,WebberOnRunsV3QB.acsys7al.krp,WebberOnRunsV3QB.acsys7mi.deltaP,WebberOnRunsV3QB.acsys7mi.kTau,WebberOnRunsV3QB.acsys7mi.krp,WebberOnRunsV3QB.att98atdc.deltaP,WebberOnRunsV3QB.att98atdc.kTau,WebberOnRunsV3QB.att98atdc.krp,WebberOnRunsV3QB.att98atde.deltaP,WebberOnRunsV3QB.att98atde.kTau,WebberOnRunsV3QB.att98atde.krp,WebberOnRunsV3QB.bbn1.deltaP,WebberOnRunsV3QB.bbn1.kTau,WebberOnRunsV3QB.bbn1.krp,WebberOnRunsV3QB.gersh1.deltaP,WebberOnRunsV3QB.gersh1.kTau,WebberOnRunsV3QB.gersh1.krp,WebberOnRunsV3QB.gersh2.deltaP,WebberOnRunsV3QB.gersh2.kTau,WebberOnRunsV3QB.gersh2.krp,WebberOnRunsV3QB.ibmg98b.deltaP,WebberOnRunsV3QB.ibmg98b.kTau,WebberOnRunsV3QB.ibmg98b.krp,WebberOnRunsV3QB.ibms98a.deltaP,WebberOnRunsV3QB.ibms98a.kTau,WebberOnRunsV3QB.ibms98a.krp,WebberOnRunsV3QB.ibms98b.deltaP,WebberOnRunsV3QB.ibms98b.kTau,WebberOnRunsV3QB.ibms98b.krp,WebberOnRunsV3QB.iit98au1.deltaP,WebberOnRunsV3QB.iit98au1.kTau,WebberOnRunsV3QB.iit98au1.krp,WebberOnRunsV3QB.iowacuhk1.deltaP,WebberOnRunsV3QB.iowacuhk1.kTau,WebberOnRunsV3QB.iowacuhk1.krp,WebberOnRunsV3QB.iowacuhk2.deltaP,WebberOnRunsV3QB.iowacuhk2.kTau,WebberOnRunsV3QB.iowacuhk2.krp,WebberOnRunsV3QB.mds98t.deltaP,WebberOnRunsV3QB.mds98t.kTau,WebberOnRunsV3QB.mds98t.krp,WebberOnRunsV3QB.mds98td.deltaP,WebberOnRunsV3QB.mds98td.kTau,WebberOnRunsV3QB.mds98td.krp,WebberOnRunsV3QB.nectitech.deltaP,WebberOnRunsV3QB.nectitech.kTau,WebberOnRunsV3QB.nectitech.krp,WebberOnRunsV3QB.nectitechdes.deltaP,WebberOnRunsV3QB.nectitechdes.kTau,WebberOnRunsV3QB.nectitechdes.krp,WebberOnRunsV3QB.nsasgrp3.deltaP,WebberOnRunsV3QB.nsasgrp3.kTau,WebberOnRunsV3QB.nsasgrp3.krp,WebberOnRunsV3QB.nsasgrp4.deltaP,WebberOnRunsV3QB.nsasgrp4.kTau,WebberOnRunsV3QB.nsasgrp4.krp,WebberOnRunsV3QB.nttdata7Al0.deltaP,WebberOnRunsV3QB.nttdata7Al0.kTau,WebberOnRunsV3QB.nttdata7Al0.krp,WebberOnRunsV3QB.nttdata7Al2.deltaP,WebberOnRunsV3QB.nttdata7Al2.kTau,WebberOnRunsV3QB.nttdata7Al2.krp,WebberOnRunsV3QB.ok7am.deltaP,WebberOnRunsV3QB.ok7am.kTau,WebberOnRunsV3QB.ok7am.krp,WebberOnRunsV3QB.ok7ax.deltaP,WebberOnRunsV3QB.ok7ax.kTau,WebberOnRunsV3QB.ok7ax.krp,WebberOnRunsV3QB.pirc8Aa2.deltaP,WebberOnRunsV3QB.pirc8Aa2.kTau,WebberOnRunsV3QB.pirc8Aa2.krp,WebberOnRunsV3QB.pirc8Ad.deltaP,WebberOnRunsV3QB.pirc8Ad.kTau,WebberOnRunsV3QB.pirc8Ad.krp,WebberOnRunsV3QB.ru,WebberOnRunsV3QB.ru.a,WebberOnRunsV3QB.ru.kru,WebberOnRunsV3QB.ru.logAvg,WebberOnRunsV3QB.ru.logAvgN,WebberOnRunsV3QB.ru.sru,WebberOnRunsV3QB.tno7exp1.deltaP,WebberOnRunsV3QB.tno7exp1.kTau,WebberOnRunsV3QB.tno7exp1.krp,WebberOnRunsV3QB.tno7tw4.deltaP,WebberOnRunsV3QB.tno7tw4.kTau,WebberOnRunsV3QB.tno7tw4.krp,WebberOnRunsV3QB.unc7aal1.deltaP,WebberOnRunsV3QB.unc7aal1.kTau,WebberOnRunsV3QB.unc7aal1.krp,WebberOnRunsV3QB.unc7aal2.deltaP,WebberOnRunsV3QB.unc7aal2.kTau,WebberOnRunsV3QB.unc7aal2.krp,WebberOnRunsV3QB.uoftimgr.deltaP,WebberOnRunsV3QB.uoftimgr.kTau,WebberOnRunsV3QB.uoftimgr.krp,WebberOnRunsV3QB.uoftimgu.deltaP,WebberOnRunsV3QB.uoftimgu.kTau,WebberOnRunsV3QB.uoftimgu.krp
APL985LC@351,0.3667,,,,0.0,0.1429,0.0,0.0,-0.2727,0.0,0.0,-0.1111,0.0,0.0,-0.359,0.0,0.0,0.2088,0.0,0.0,0.3455,0.0,0.0,-0.2,0.0333,0.0,0.6061,0.0,0.0,0.0,0.2,0.0,0.0256,0.0,0.0,0.0256,0.0,0.0,0.3939,0.0,0.0,-0.0989,0.0333,0.0,0.6264,0.0,0.0,0.5897,0.0,0.0,0.5152,0.0,0.0,0.1273,0.0,0.0,0.5455,0.0,0.0,0.4242,0.0,0.0,-0.2051,0.0,0.0,0.4066,0.0333,0.0,0.2967,0.0,0.0,0.4545,0.0,0.0,-0.1273,0.0,0.0,0.1636,0.0,0.0,0.359,0.0,0.0,0.2889,0.0,0.0,0.2889,0.0,0.0,0.1026,0.0,0.0,0.1515,0.0,0.0,0.5048,0.0,0.0,0.0256,0.0,0.0,-0.2222,0.3667,0.0,0.6667,0.0,0.0,0.4,0.0,0.0,0.3846,0.0,0.0,0.0222,0.0,0.0,-0.0667,0.0,0.0,-0.0769,0.0,0.0,0.2444,0.0,APL985LC@351,0.0,0.2,0.0,0.0,0.3667,0.0,-0.3333,0.0,0.0,0.0256,0.0,0.0,-0.0909,0.0,0.0,0.1636,0.0,0.0,-0.0303,0.0,0.0,0.1273,0.0
APL985LC@352,0.1333,,,,0.0,0.0,0.3666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334,0.0,0.6667,0.0,0.0,0.6,0.0,0.0,0.3333,0.0667,0.0,0.2,0.1334,0.0,0.0,0.0,0.0,0.5714,0.0,0.0,0.5714,0.0,0.0,0.6,0.0,0.0333,0.4,0.0333,0.0,0.8095,0.0,0.0,0.5238,0.0,0.0,0.8571,0.0,0.0333,0.3333,0.2667,0.0,0.6667,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0666,0.0,0.0666,0.0,-0.2,0.2333,0.0,0.0,0.0,0.0,0.6,0.1,0.0,-0.3333,0.0666,0.0,0.3333,0.3,0.0,0.0667,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,-0.0714,0.2,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0714,0.0,0.0,0.1111,0.0667,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-0.0667,0.0,0.0,1.0,0.0,APL985LC@352,0.0462,0.0667,0.692 ,0.7333 ,0.1333,0.0,0.8095,0.0,0.0,0.3333,0.0,0.0,0.1429,0.0,0.0,0.4,0.0,0.0333,0.0,0.0333,0.0,-0.3333,0.0
APL985LC@353,0.5333,,,,0.0,0.1282,0.0,0.0,-0.0606,0.0333,0.0,0.0667,0.0,0.0,-0.0667,0.0,0.0,0.0435,0.0,0.0,-0.0216,0.0,0.0,0.0719,0.0,0.0,0.0877,0.0,0.0,-0.0667,0.0,0.0,0.0175,0.0,0.0,0.0737,0.0,0.0,0.1619,0.0,0.0,-0.15,0.0,0.0,-0.2157,0.0,0.0,-0.1333,0.0,0.0,0.2316,0.0,0.0,0.2208,0.0,0.0,0.0588,0.0,0.0,0.0294,0.0,0.0,0.2762,0.0,0.0,-0.1429,0.1666,0.0,0.1176,0.0,0.0,0.0147,0.0,0.0,0.268,0.0,0.0,-0.0737,0.0,0.0,0.2,0.0333,0.0,0.05,0.0,0.0,0.0333,0.0,0.0,-0.0211,0.0,0.0,0.1429,0.0,0.0,-0.0588,0.0,0.0,0.0175,0.0,0.0,0.2157,0.0,0.0,0.2353,0.0,0.0,-0.1087,0.0,0.0,-0.2121,0.0,0.0,-0.0196,0.0,0.0,0.0994,0.0,0.0,-0.2,0.0,0.0,0.1176,0.0,APL985LC@353,0.0,0.0,0.0,0.0,0.5333,0.0,0.3203,0.0,0.0,0.0989,0.0,0.0,0.1282,0.0,0.0,0.0167,0.0,0.0,0.1029,0.0,0.0,0.219,0.0333
APL985LC@354,0.4,,,,0.0,-0.6667,0.3,0.0334,0.0,0.1,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.3333,0.0334,0.0,0.0222,0.0,0.0333,0.0,0.2,0.0334,0.3333,0.1667,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0667,0.0,-0.3333,0.0,0.0,0.3333,0.0333,0.0,0.0,0.0334,0.0,0.6,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333,0.0,0.0666,-0.6667,0.4666,0.0666,-1.0,0.6666,0.0,1.0,0.0333,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.3333,0.1,0.0,-1.0,0.0,0.0,0.3333,0.0,0.1666,0.0,0.2666,0.0,0.3333,0.0333,0.0666,0.3333,0.3,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1556,0.0333,0.0,0.1111,0.0333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,-1.0,0.0,0.0,0.0,0.2333,APL985LC@354,0.0048,0.0333,0.145 ,2.3333 ,0.4,0.0,0.0,0.1667,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.3333,0.0333
APL985LC@355,0.1333,,,,0.0,0.2515,0.0,0.0,-0.1429,0.0,0.0,-0.3333,0.0,0.0,-0.2,0.0,0.0,-0.2364,0.0333,0.0,0.4286,0.0,0.0,0.3167,0.0,0.0,0.2941,0.0,0.0,0.3595,0.0,0.0,0.2833,0.0,0.0,0.2952,0.0,0.0,0.5439,0.0,0.0,0.4902,0.0,0.0,0.5604,0.0,0.0,0.2747,0.0,0.0,0.3676,0.0,0.0,0.2157,0.0,0.0,0.2353,0.0,0.0,0.0441,0.0,0.0,0.2833,0.0,0.0,-0.0667,0.3667,0.0,-0.1111,0.0667,0.0,0.5604,0.0,0.0,0.1667,0.0,0.0,0.2549,0.0,0.0,0.3905,0.0,0.0,0.3464,0.0,0.0,0.3203,0.0,0.0,-0.3091,0.0,0.0,0.25,0.0,0.0,0.3676,0.0,0.0,0.2833,0.0,0.0,0.6154,0.0,0.0,0.6154,0.0,0.0,0.4095,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.3626,0.0,0.0,-0.0545,0.0,0.0,-0.0556,0.0334,APL985LC@355,0.0,0.0,0.0,0.0,0.1333,0.0,0.359,0.0,0.0,0.4559,0.0,0.0,0.5425,0.0,0.0,0.5833,0.0,0.0,0.3571,0.0333,0.0,-0.1429,0.0
APL985LC@356,0.1333,,,,0.0,0.3382,0.0,0.0,0.5604,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.368,0.0,0.0,0.5584,0.0,0.0,0.2737,0.0,0.0,0.2762,0.0,0.0,0.193,0.0,0.0,0.419,0.0,0.0,0.419,0.0,0.0,0.3333,0.0,0.0,0.5325,0.0,0.0,0.7076,0.0,0.0,0.6,0.7667,0.0,0.4067,0.0,0.0,0.6104,0.0,0.0,0.2468,0.0,0.0,0.3429,0.0,0.0,0.3048,0.0,0.0,0.4503,0.0,0.0,0.3895,0.0334,0.0,0.316,0.0,0.0,0.368,0.0,0.0,0.2476,0.0,0.0,0.5033,0.0333,0.0,0.6537,0.0,0.0,0.6537,0.0,0.0,0.342,0.0,0.0,0.3597,0.0,0.0,0.4571,0.0,0.0,0.1696,0.0,0.0,0.1667,0.0,0.0,0.1238,0.0,0.0,0.381,0.0,0.0,0.3684,0.0,0.0,0.2476,0.0,0.0,0.1714,0.0,0.0,-0.0316,0.0,0.0,0.0316,0.0,APL985LC@356,0.0,0.0,0.0,0.0,0.1333,0.0,0.4372,0.0,0.0,0.4152,0.0,0.0,0.6381,0.0,0.0,0.5167,0.0,0.0,0.4182,0.0,0.0,0.5735,0.0
APL985LC@357,0.4667,,,,0.0,0.3091,0.0,0.0,0.2,0.0,0.0334,0.0,0.0334,0.0,0.0,0.1333,0.0,0.25,0.0,0.0,0.1273,0.0,0.0,0.2,0.0333,0.0,0.3333,0.0,0.0666,0.3333,0.1666,0.0,0.3333,0.0,0.0,0.4444,0.0,0.0,0.4476,0.0,0.0,0.4066,0.0,0.0,0.3333,0.0,0.0,0.2444,0.0,0.0,0.0909,0.0,0.0333,0.2,0.2666,0.0,-0.1515,0.0,0.0,0.0909,0.0,0.0,0.4545,0.0,0.0,0.011,0.0333,0.0,-0.3333,0.0,0.0,0.2952,0.0,0.0,0.3889,0.0,0.0,0.1636,0.0,0.0333,0.2424,0.0666,0.0,0.2778,0.0,0.0,0.3889,0.0,0.0333,0.0,0.0333,0.0,0.3778,0.0,0.0,0.1868,0.0,0.0,0.3333,0.0,0.0,0.3889,0.0,0.0,0.3889,0.0,0.0,0.1429,0.0,0.0,0.1429,0.0,0.0,0.2889,0.0,0.0,0.6667,0.0,0.0,0.0556,0.0,0.0,0.3939,0.0,APL985LC@357,0.0123,0.0333,0.3703 ,0.7758 ,0.4667,0.0,0.1556,0.0,0.0,0.0769,0.0,0.0,0.4444,0.0,0.0,0.4286,0.0,0.0,-0.0294,0.0,0.0,-0.0294,0.0
APL985LC@358,0.2333,,,,0.0,0.5556,0.0,0.0,-0.2,0.0,0.0,0.4,0.0,0.0,0.0667,0.0,0.0,0.0545,0.0,0.0,-0.0769,0.0,0.0,-0.6,0.1,0.0,0.2444,0.0,0.0,-0.0182,0.0,0.0,0.2747,0.0,0.0,0.1619,0.0,0.0,0.0,0.0,0.0,0.1515,0.0,0.0,0.2821,0.0,0.0,0.0909,0.0,0.0,0.2222,0.0,0.0,1.0,0.0666,0.0,0.1556,0.0,0.0,0.3333,0.0,0.0,0.2,0.0,0.0,0.5111,0.2333,0.0,0.0556,0.1667,0.0,0.1667,0.0334,0.0,-0.2121,0.0,0.0,0.1556,0.0,0.0,-0.0256,0.0,0.0,0.2121,0.0,0.0,0.2727,0.0,0.0,0.3333,0.0,0.0,0.2,0.0,0.0,0.2424,0.1,0.0,0.2747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0476,0.0,0.0,-0.0476,0.0,0.0,0.0545,0.0,0.0,0.0,0.0,APL985LC@358,0.0,0.1667,0.0,0.0,0.2333,0.0,0.2444,0.0,0.0,0.4222,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.1868,0.0,0.0,0.0513,0.0
APL985LC@359,0.0667,,,,0.0,0.3571,0.0,0.0,-0.0667,0.0,0.0,-0.1429,0.0,0.0,-0.0714,0.0,0.0,0.4286,0.0,0.0,0.2444,0.0,0.0,0.3636,0.0,0.0,0.0714,0.0,0.0,0.619,0.0,0.0,0.0667,0.0,0.0,0.1111,0.0,0.0,0.7778,0.0,0.0,0.4,0.1,0.0,-0.0556,0.0,0.0,-0.0556,0.0,0.0,-0.2,0.0,0.0,-0.2,0.0,0.0,-1.0,0.0,0.0,1.0,0.0333,0.0,0.3918,0.0,0.0,0.2,0.5333,0.0,-0.3333,0.0,0.0,0.7143,0.0334,0.0,0.3333,0.0333,0.0,0.7333,0.0,0.0,0.3778,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.1,0.0,0.0667,0.0,0.0,1.0,0.0,0.0,0.0667,0.0,0.0,-0.0667,0.0,0.0,0.4667,0.0,0.0,-0.6,0.0,0.0,-0.4667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,APL985LC@359,0.0,0.0,0.0,0.0,0.0667,0.0,0.3846,0.0,0.0,-0.0606,0.0,0.0,0.0476,0.0,0.0,0.3571,0.0,0.0,-1.0,0.0,0.0,-1.0,0.1
APL985LC@360,0.8,,,,0.0,-1.0,0.0,0.0,-0.0556,0.0333,0.0,0.4286,0.0,0.0,-0.3333,0.0,0.0,0.2,0.0333,0.0,0.0909,0.0,0.0333,0.0,0.1,0.0,0.0545,0.0,0.0,0.2967,0.0,0.0,0.2364,0.0,0.0,-0.0667,0.0,0.0,0.2778,0.0,0.0,0.2727,0.0334,0.0,-0.3571,0.0,0.0,-0.0667,0.0,0.0,-0.8,0.0,0.0,0.0,0.1334,0.0,0.0222,0.0,0.0,0.2727,0.0,0.0,0.0513,0.0,0.0,-0.2727,0.2334,0.0,0.2,0.0667,0.0,0.1176,0.0,0.0,0.3382,0.0,0.0,0.3088,0.0,0.0,0.4182,0.0,0.0,-0.3889,0.0,0.0,-0.3333,0.0,0.0,0.1895,0.0,0.0,0.4095,0.0,0.0,-0.0667,0.0667,0.0,0.2364,0.0,0.0,0.1048,0.0,0.0,0.033,0.0,0.0,0.2571,0.0,0.0,0.2967,0.0,0.0,-0.3333,0.0667,0.0,0.1429,0.0,0.0,-0.2,0.0,0.0333,0.3333,0.1,APL985LC@360,0.0,0.0,0.333 ,0.3333 ,0.8,0.0,0.2424,0.0,0.0,0.2967,0.0,0.0,0.2143,0.0,0.0,-0.0556,0.0,0.0,0.3846,0.0,0.0,0.0667,0.0
